Id,Nombre,Imagen,Tipo Pokemon,Peso,Habilidades,Movimiento,Altura,Habitat,Es baby,Es Legendario,Es Mitico,Generacion,Descripcion
11,metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,bug,9.9,shed-skin,"string-shot,harden,iron-defense,bug-bite,electroweb",0.7,forest,No,No,No,generation-i,Su frágil cuerpo está recubierto de una coraza dura como el acero. Permanece quieto en su desarrollo.
12,butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,"bug,flying",32.0,"compound-eyes,tinted-lens","razor-wind,gust,whirlwind,headbutt,tackle,take-down,double-edge,supersonic,psybeam,hyper-beam,mega-drain,solar-beam,poison-powder,stun-spore,sleep-powder,string-shot,toxic,confusion,psychic,rage,teleport,mimic,double-team,harden,reflect,bide,swift,dream-eater,flash,psywave,rest,substitute,thief,nightmare,snore,curse,protect,giga-drain,endure,swagger,attract,sleep-talk,return,frustration,safeguard,baton-pass,sweet-scent,hidden-power,twister,rain-dance,sunny-day,psych-up,shadow-ball,facade,skill-swap,secret-power,air-cutter,silver-wind,signal-beam,aerial-ace,iron-defense,roost,natural-gift,tailwind,u-turn,air-slash,bug-buzz,energy-ball,giga-impact,defog,captivate,bug-bite,ominous-wind,venoshock,rage-powder,quiver-dance,round,acrobatics,struggle-bug,electroweb,hurricane,draining-kiss,confide,infestation,pollen-puff,dual-wingbeat",1.1,forest,No,No,No,generation-i,Adora el néctar de las flores. Puede localizar hasta las más pequeñas cantidades de polen.
13,weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,"bug,poison",3.2,"shield-dust,run-away","poison-sting,string-shot,bug-bite,electroweb",0.3,forest,No,No,No,generation-i,Suele habitar bosques y praderas. Tiene un afilado y venenoso aguijón de unos 5 cm encima de la cabeza.
14,kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,"bug,poison",10.0,shed-skin,"string-shot,harden,iron-defense,bug-bite,electroweb",0.6,forest,No,No,No,generation-i,"Casi incapaz de moverse, este Pokémon solo puede endurecer su caparazón para protegerse."
15,beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,"bug,poison",29.5,"swarm,sniper","swords-dance,cut,headbutt,fury-attack,take-down,double-edge,poison-sting,twineedle,pin-missile,hyper-beam,peck,mega-drain,solar-beam,string-shot,toxic,agility,rage,mimic,double-team,harden,reflect,focus-energy,bide,swift,skull-bash,flash,rest,substitute,thief,snore,curse,protect,sludge-bomb,outrage,giga-drain,endure,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,pursuit,sweet-scent,hidden-power,sunny-day,rock-smash,facade,brick-break,knock-off,endeavor,secret-power,air-cutter,silver-wind,aerial-ace,roost,natural-gift,tailwind,u-turn,payback,assurance,toxic-spikes,poison-jab,x-scissor,giga-impact,defog,captivate,bug-bite,ominous-wind,venoshock,round,acrobatics,struggle-bug,electroweb,drill-run,fell-stinger,confide,infestation,laser-focus,throat-chop,brutal-swing",1.0,forest,No,No,No,generation-i,Tiene 3 aguijones venenosos en sus patas y cola. Suelen pinchar a sus enemigos repetidas veces.
16,pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,"normal,flying",1.8,"keen-eye,tangled-feet,big-pecks","razor-wind,gust,wing-attack,whirlwind,fly,sand-attack,headbutt,tackle,take-down,double-edge,toxic,agility,quick-attack,rage,mimic,double-team,reflect,bide,mirror-move,swift,sky-attack,rest,substitute,thief,snore,curse,protect,feint-attack,mud-slap,foresight,detect,endure,swagger,steel-wing,attract,sleep-talk,return,frustration,pursuit,hidden-power,twister,rain-dance,sunny-day,uproar,heat-wave,facade,secret-power,feather-dance,air-cutter,aerial-ace,roost,natural-gift,pluck,tailwind,u-turn,air-slash,brave-bird,defog,captivate,ominous-wind,round,work-up,hurricane,confide",0.3,forest,No,No,No,generation-i,Muy común en bosques y selvas. Aletea al nivel del suelo para levantar la gravilla.
17,pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,"normal,flying",30.0,"keen-eye,tangled-feet,big-pecks","razor-wind,gust,wing-attack,whirlwind,fly,sand-attack,headbutt,tackle,take-down,double-edge,toxic,agility,quick-attack,rage,mimic,double-team,reflect,bide,mirror-move,swift,sky-attack,rest,substitute,thief,snore,curse,protect,mud-slap,detect,endure,swagger,steel-wing,attract,sleep-talk,return,frustration,hidden-power,twister,rain-dance,sunny-day,uproar,heat-wave,facade,secret-power,feather-dance,air-cutter,aerial-ace,roost,natural-gift,pluck,tailwind,u-turn,air-slash,defog,captivate,ominous-wind,round,work-up,hurricane,confide",1.1,forest,No,No,No,generation-i,Tiene unas garras desarrolladas. Puede atrapar un Exeggcute y transportarlo desde una distancia de casi 100 km.
18,pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,"normal,flying",39.5,"keen-eye,tangled-feet,big-pecks","razor-wind,gust,wing-attack,whirlwind,fly,sand-attack,headbutt,tackle,take-down,double-edge,hyper-beam,toxic,agility,quick-attack,rage,mimic,double-team,reflect,bide,mirror-move,swift,sky-attack,rest,substitute,thief,snore,curse,protect,mud-slap,detect,endure,swagger,steel-wing,attract,sleep-talk,return,frustration,hidden-power,twister,rain-dance,sunny-day,uproar,heat-wave,facade,secret-power,feather-dance,air-cutter,aerial-ace,roost,natural-gift,pluck,tailwind,u-turn,air-slash,giga-impact,defog,captivate,ominous-wind,round,work-up,hurricane,confide,laser-focus",1.5,forest,No,No,No,generation-i,"Cuando caza, vuela muy deprisa a ras del agua y sorprende a inocentes presas como Magikarp."
19,rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,normal,3.5,"run-away,guts,hustle","cut,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,water-gun,ice-beam,blizzard,bubble-beam,counter,thunderbolt,thunder-wave,thunder,dig,toxic,quick-attack,rage,mimic,screech,double-team,defense-curl,focus-energy,bide,swift,skull-bash,fury-swipes,rest,hyper-fang,super-fang,substitute,thief,flame-wheel,snore,curse,reversal,protect,sludge-bomb,mud-slap,icy-wind,endure,swagger,attract,sleep-talk,return,frustration,pursuit,iron-tail,hidden-power,rain-dance,sunny-day,crunch,shadow-ball,rock-smash,uproar,facade,taunt,revenge,endeavor,secret-power,covet,shock-wave,natural-gift,pluck,u-turn,assurance,me-first,last-resort,sucker-punch,zen-headbutt,captivate,grass-knot,charge-beam,round,retaliate,final-gambit,work-up,wild-charge,confide,laser-focus",0.3,grassland,No,No,No,generation-i,"Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible."
20,raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,normal,18.5,"run-away,guts,hustle","swords-dance,cut,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,roar,water-gun,ice-beam,blizzard,bubble-beam,hyper-beam,counter,strength,thunderbolt,thunder-wave,thunder,dig,toxic,quick-attack,rage,mimic,double-team,defense-curl,focus-energy,bide,swift,skull-bash,fury-swipes,rest,hyper-fang,super-fang,substitute,thief,snore,curse,protect,scary-face,sludge-bomb,mud-slap,icy-wind,endure,swagger,attract,sleep-talk,return,frustration,pursuit,iron-tail,hidden-power,rain-dance,sunny-day,crunch,shadow-ball,rock-smash,uproar,facade,taunt,endeavor,secret-power,covet,shock-wave,natural-gift,pluck,u-turn,assurance,last-resort,sucker-punch,giga-impact,zen-headbutt,captivate,grass-knot,charge-beam,round,retaliate,work-up,wild-charge,confide,laser-focus,throat-chop,stomping-tantrum",0.7,grassland,No,No,No,generation-i,Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.
21,spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,"normal,flying",2.0,"keen-eye,sniper","razor-wind,wing-attack,whirlwind,fly,headbutt,fury-attack,take-down,double-edge,leer,growl,peck,drill-peck,toxic,agility,quick-attack,rage,mimic,double-team,focus-energy,bide,mirror-move,swift,sky-attack,rest,tri-attack,substitute,thief,snore,curse,protect,scary-face,feint-attack,mud-slap,detect,endure,false-swipe,swagger,steel-wing,attract,sleep-talk,return,frustration,pursuit,hidden-power,twister,rain-dance,sunny-day,uproar,heat-wave,facade,secret-power,feather-dance,astonish,air-cutter,aerial-ace,roost,natural-gift,pluck,tailwind,u-turn,assurance,defog,captivate,ominous-wind,round,echoed-voice,work-up,drill-run,confide",0.3,rough-terrain,No,No,No,generation-i,"Muy protector de su territorio, mueve sus cortas alas sin descanso para lanzarse a toda velocidad."
22,fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,"normal,flying",38.0,"keen-eye,sniper","razor-wind,wing-attack,whirlwind,fly,headbutt,fury-attack,take-down,double-edge,leer,growl,hyper-beam,peck,drill-peck,toxic,agility,quick-attack,rage,mimic,double-team,focus-energy,bide,mirror-move,swift,sky-attack,rest,tri-attack,substitute,thief,snore,curse,protect,mud-slap,detect,endure,false-swipe,swagger,steel-wing,attract,sleep-talk,return,frustration,pursuit,hidden-power,twister,rain-dance,sunny-day,uproar,heat-wave,facade,secret-power,air-cutter,aerial-ace,roost,natural-gift,pluck,tailwind,u-turn,assurance,giga-impact,defog,captivate,ominous-wind,round,echoed-voice,work-up,drill-run,confide,laser-focus,throat-chop",1.2,rough-terrain,No,No,No,generation-i,"Con sus enormes y magníficas alas, puede seguir volando sin tener que aterrizar para descansar."
23,ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,poison,6.9,"intimidate,shed-skin,unnerve","bind,slam,headbutt,body-slam,wrap,take-down,double-edge,poison-sting,leer,bite,disable,acid,strength,mega-drain,earthquake,fissure,dig,toxic,rage,mimic,screech,double-team,haze,bide,skull-bash,glare,leech-life,rest,rock-slide,substitute,thief,snore,curse,spite,protect,scary-face,sludge-bomb,mud-slap,giga-drain,endure,swagger,attract,sleep-talk,return,frustration,pursuit,iron-tail,hidden-power,rain-dance,sunny-day,crunch,beat-up,stockpile,spit-up,swallow,torment,facade,knock-off,snatch,secret-power,poison-fang,rock-tomb,mud-shot,poison-tail,natural-gift,payback,gastro-acid,sucker-punch,toxic-spikes,poison-jab,dark-pulse,aqua-tail,seed-bomb,switcheroo,fire-fang,mud-bomb,gunk-shot,captivate,venoshock,sludge-wave,coil,acid-spray,round,bulldoze,snarl,belch,confide,infestation,brutal-swing,psychic-fangs,scale-shot,skitter-smack,lash-out,tera-blast,trailblaze",2.0,grassland,No,No,No,generation-i,"Cuanto más viejo, más crece este Pokémon. Por la noche, descansa en las ramas de los árboles."
24,arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,poison,65.0,"intimidate,shed-skin,unnerve","bind,slam,headbutt,body-slam,wrap,take-down,double-edge,poison-sting,leer,bite,acid,hyper-beam,strength,mega-drain,earthquake,fissure,dig,toxic,rage,mimic,screech,double-team,haze,bide,skull-bash,glare,leech-life,rest,rock-slide,substitute,thief,snore,curse,spite,protect,scary-face,sludge-bomb,mud-slap,giga-drain,endure,swagger,attract,sleep-talk,return,frustration,pain-split,iron-tail,hidden-power,rain-dance,sunny-day,crunch,stockpile,spit-up,swallow,torment,facade,knock-off,snatch,secret-power,poison-fang,rock-tomb,mud-shot,poison-tail,natural-gift,payback,gastro-acid,sucker-punch,toxic-spikes,poison-jab,dark-pulse,aqua-tail,seed-bomb,switcheroo,giga-impact,thunder-fang,ice-fang,fire-fang,mud-bomb,gunk-shot,captivate,venoshock,sludge-wave,coil,acid-spray,round,bulldoze,dragon-tail,snarl,belch,confide,infestation,throat-chop,brutal-swing,psychic-fangs,stomping-tantrum,breaking-swipe,scale-shot,skitter-smack,lash-out,tera-blast,trailblaze",3.5,grassland,No,No,No,generation-i,El dibujo que tiene en la panza aterroriza. Los rivales más débiles salen huyendo al verlo.
25,pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,electric,6.0,"static,lightning-rod","mega-punch,pay-day,thunder-punch,slam,double-kick,mega-kick,headbutt,body-slam,take-down,double-edge,tail-whip,growl,surf,submission,counter,seismic-toss,strength,thunder-shock,thunderbolt,thunder-wave,thunder,dig,toxic,agility,quick-attack,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,swift,skull-bash,flash,rest,substitute,thief,snore,curse,reversal,protect,sweet-kiss,mud-slap,zap-cannon,detect,endure,charm,rollout,swagger,spark,attract,sleep-talk,return,frustration,dynamic-punch,encore,iron-tail,hidden-power,rain-dance,rock-smash,uproar,facade,focus-punch,charge,helping-hand,brick-break,knock-off,endeavor,secret-power,fake-tears,signal-beam,covet,volt-tackle,calm-mind,shock-wave,natural-gift,feint,fling,magnet-rise,nasty-plot,discharge,captivate,grass-knot,charge-beam,electro-ball,round,echoed-voice,volt-switch,electroweb,wild-charge,disarming-voice,draining-kiss,play-rough,play-nice,confide,eerie-impulse,electric-terrain,nuzzle,laser-focus,rising-voltage,tera-blast,trailblaze,alluring-voice,upper-hand",0.4,forest,No,No,No,generation-i,"Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose."
26,raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,electric,30.0,"static,lightning-rod","mega-punch,pay-day,thunder-punch,slam,mega-kick,headbutt,body-slam,take-down,double-edge,tail-whip,growl,surf,hyper-beam,submission,counter,seismic-toss,strength,thunder-shock,thunderbolt,thunder-wave,thunder,dig,toxic,agility,quick-attack,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,swift,skull-bash,flash,rest,substitute,thief,snore,curse,reversal,protect,sweet-kiss,mud-slap,zap-cannon,detect,endure,charm,rollout,swagger,spark,attract,sleep-talk,return,frustration,safeguard,dynamic-punch,encore,iron-tail,hidden-power,rain-dance,rock-smash,fake-out,uproar,facade,focus-punch,charge,helping-hand,brick-break,knock-off,endeavor,secret-power,signal-beam,covet,calm-mind,shock-wave,natural-gift,feint,fling,magnet-rise,focus-blast,giga-impact,nasty-plot,discharge,captivate,grass-knot,charge-beam,electro-ball,round,echoed-voice,volt-switch,electroweb,wild-charge,disarming-voice,draining-kiss,play-rough,play-nice,confide,eerie-impulse,electric-terrain,nuzzle,laser-focus,speed-swap,brutal-swing,rising-voltage,tera-blast,trailblaze,alluring-voice,upper-hand",0.8,forest,No,No,No,generation-i,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal."
